ma_truong,ten_truong,ma_nganh,ten_nganh,ma_to_hop,nam,diem_chuan,chi_tieu,phuong_thuc,ten_truong_raw,ma_nganh_raw,ten_nganh_raw,ten_nganh_chuan,ma_nganh_chuan,ten_truong_chuan
AIS,Học Viện Quốc Tế,7220201,Ngôn ngữ anh,A01,2023,22.11,,THPT,Học viện quốc tế,7220201|10A01,Ngôn ngữ Anh (Nữ),Ngôn ngữ anh,7220201,Học Viện Quốc Tế
AIS,Học Viện Quốc Tế,7220201,Ngôn ngữ anh,D01,2023,22.11,,THPT,Học viện quốc tế,7220201|10D01,Ngôn ngữ Anh (Nữ),Ngôn ngữ anh,7220201,Học Viện Quốc Tế
AIS,Học Viện Quốc Tế,7220204,Ngôn ngữ trung quốc,D01,2023,21.54,,THPT,Học viện quốc tế,7220204|10D01,Ngôn ngữ Trung Quốc,Ngôn ngữ trung quốc,7220204,Học Viện Quốc Tế
AIS,Học Viện Quốc Tế,7220204,Ngôn ngữ trung quốc,D04,2023,21.54,,THPT,Học viện quốc tế,7220204|10D04,Ngôn ngữ Trung Quốc (Nữ),Ngôn ngữ trung quốc,7220204,Học Viện Quốc Tế
ANH,Học Viện An Ninh Nhân Dân,7480202,Ngành an toàn thông tin,A00,2023,21.93,,THPT,Học viện An Ninh Nhân Dân,7480202|11A00,Ngành An toàn thông tin (Phía Bắc - Nữ),Ngành an toàn thông tin,7480202,Học Viện An Ninh Nhân Dân
ANH,Học Viện An Ninh Nhân Dân,7480202,Ngành an toàn thông tin,A01,2023,21.93,,THPT,Học viện An Ninh Nhân Dân,7480202|11A01,Ngành An toàn thông tin (Phía Bắc - Nữ),Ngành an toàn thông tin,7480202,Học Viện An Ninh Nhân Dân
ANH,Học Viện An Ninh Nhân Dân,7720101,Y khoa,B00,2023,14.73,,THPT,Học viện An Ninh Nhân Dân,7720101|21B00,Y khoa (Nam - Miền Bắc),Y khoa,7720101,Học Viện An Ninh Nhân Dân
ANH,Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,A00,2023,24.14,,THPT,Học viện An Ninh Nhân Dân,7860100|13A00|1,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),Nghiệp vụ an ninh,7860100,Học Viện An Ninh Nhân Dân
ANH,Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,A01,2023,24.14,,THPT,Học viện An Ninh Nhân Dân,7860100|13A01|1,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),Nghiệp vụ an ninh,7860100,Học Viện An Ninh Nhân Dân
ANH,Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,C03,2023,24.14,,THPT,Học viện An Ninh Nhân Dân,7860100|13C03|1,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),Nghiệp vụ an ninh,7860100,Học Viện An Ninh Nhân Dân
ANH,Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,D01,2023,24.14,,THPT,Học viện An Ninh Nhân Dân,7860100|13D01|1,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),Nghiệp vụ an ninh,7860100,Học Viện An Ninh Nhân Dân
ANS,Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,A00,2023,24.16,,THPT,Đại học An Ninh Nhân Dân,7860100|13A00|4,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),Nghiệp vụ an ninh,7860100,Đại Học An Ninh Nhân Dân
ANS,Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,A01,2023,24.16,,THPT,Đại học An Ninh Nhân Dân,7860100|13A01|4,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),Nghiệp vụ an ninh,7860100,Đại Học An Ninh Nhân Dân
ANS,Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,C03,2023,24.16,,THPT,Đại học An Ninh Nhân Dân,7860100|13C03|4,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),Nghiệp vụ an ninh,7860100,Đại Học An Ninh Nhân Dân
ANS,Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ an ninh,D01,2023,24.16,,THPT,Đại học An Ninh Nhân Dân,7860100|13D01|4,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),Nghiệp vụ an ninh,7860100,Đại Học An Ninh Nhân Dân
BKA,Đại Học Bách Khoa Hà Nội,BF-E12,,A00,2023,22.7,,THPT,Đại học Bách khoa Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,,BF-E12,Đại Học Bách Khoa Hà Nội
BKA,Đại Học Bách Khoa Hà Nội,BF-E12,,B00,2023,22.7,,THPT,Đại học Bách khoa Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,,BF-E12,Đại Học Bách Khoa Hà Nội
BKA,Đại Học Bách Khoa Hà Nội,BF-E12,,D07,2023,22.7,,THPT,Đại học Bách khoa Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,,BF-E12,Đại Học Bách Khoa Hà Nội
BKA,Đại Học Bách Khoa Hà Nội,7420202,Kỹ thuật sinh học,A00,2023,21.0,,THPT,Đại học Bách khoa Hà Nội,BF-E19,Kỹ thuật sinh học chương trình Tiên tiến,Kỹ thuật sinh học,7420202,Đại Học Bách Khoa Hà Nội
