ma_nganh,ten_nganh,ma_to_hop,nam,diem_thi_sinh,diem_cong_kv,khu_vuc,diem_chuan_2023,diem_chuan_2024,diem_chuan_2025,ket_qua,trung_binh_3nam,xu_huong_24_25,chenh_lech
112,Kỹ thuật dệt; công nghệ dệt may,A00,2024,30.0,0.25,KV2NT,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2023,30.0,0.75,KV1,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2025,30.0,0.25,KV2NT,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2024,30.0,0.75,KV1,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2025,30.0,0.0,KV3,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2025,30.0,0.75,KV1,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2025,30.0,0.75,KV1,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2025,30.0,0.0,KV3,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2025,30.0,0.5,KV2,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A00,2025,30.0,0.0,KV3,57.3,55.51,60.75,0,57.85333333333333,5.240000000000002,-27.85333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A01,2024,30.0,0.0,KV3,57.3,55.51,0.0,0,37.60333333333333,-55.51,-7.603333333333332
112,Kỹ thuật dệt; công nghệ dệt may,A01,2024,30.0,0.5,KV2,57.3,55.51,0.0,0,37.60333333333333,-55.51,-7.603333333333332
112,Kỹ thuật dệt; công nghệ dệt may,A01,2025,0.0,0.0,KV3,57.3,55.51,0.0,1,37.60333333333333,-55.51,-37.60333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A01,2025,0.0,0.75,KV1,57.3,55.51,0.0,1,37.60333333333333,-55.51,-37.60333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A01,2025,1.12,0.0,KV3,57.3,55.51,0.0,1,37.60333333333333,-55.51,-36.48333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A01,2023,30.0,0.5,KV2,57.3,55.51,0.0,0,37.60333333333333,-55.51,-7.603333333333332
112,Kỹ thuật dệt; công nghệ dệt may,A01,2023,30.0,0.25,KV2NT,57.3,55.51,0.0,0,37.60333333333333,-55.51,-7.603333333333332
112,Kỹ thuật dệt; công nghệ dệt may,A01,2023,30.0,0.0,KV3,57.3,55.51,0.0,0,37.60333333333333,-55.51,-7.603333333333332
112,Kỹ thuật dệt; công nghệ dệt may,A01,2025,0.0,0.5,KV2,57.3,55.51,0.0,1,37.60333333333333,-55.51,-37.60333333333333
112,Kỹ thuật dệt; công nghệ dệt may,A01,2025,0.0,0.25,KV2NT,57.3,55.51,0.0,1,37.60333333333333,-55.51,-37.60333333333333
138,Cơ kỹ thuật,A00,2025,30.0,0.75,KV1,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2023,30.0,0.0,KV3,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2025,30.0,0.25,KV2NT,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2024,30.0,0.5,KV2,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2023,30.0,0.0,KV3,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2024,30.0,0.0,KV3,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2023,30.0,0.25,KV2NT,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2024,30.0,0.0,KV3,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2023,30.0,0.5,KV2,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
138,Cơ kỹ thuật,A00,2023,30.0,0.75,KV1,60.65,74.7,75.98,0,70.44333333333333,1.2800000000000011,-40.44333333333333
