ma_truong,ten_truong,ma_nganh,ten_nganh,ma_to_hop,nam,diem_chuan,chi_tieu,phuong_thuc
ANH,Học Viện An Ninh Nhân Dân,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),A00,2025,21.98,,THPT
ANH,Học Viện An Ninh Nhân Dân,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),A01,2025,21.98,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 1)",A00,2025,23.05,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 1)",A01,2025,23.05,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 1)",D01,2025,23.05,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 2)",A00,2025,24.63,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 2)",A01,2025,24.63,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 2)",D01,2025,24.63,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 3)",A00,2025,23.03,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 3)",A01,2025,23.03,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 3)",D01,2025,23.03,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 8)",A00,2025,18.78,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 8)",A01,2025,18.78,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nam_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 8)",D01,2025,18.78,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nu_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 1)",A00,2025,25.58,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nu_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 1)",A01,2025,25.58,,THPT
ANH,Học Viện An Ninh Nhân Dân,7860100_Nu_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 1)",D01,2025,25.58,,THPT
