Mã trường,Tên trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm thi THPT,Ghi chú
TTG,Đại học Tiền Giang,7620112,Bảo vệ thực vật,A00 | A01 | B00 | B08,15,
TTG,Đại học Tiền Giang,7620105,Chăn nuôi,A00 | A01 | B00 | B08,15,
TTG,Đại học Tiền Giang,7510201,Công nghệ kỹ thuật cơ khí (chuyên ngành Cơ khí chế tạo),A00 | A01 | D07 | D90,15,
TTG,Đại học Tiền Giang,7510203,Công nghệ kỹ thuật cơ điện tử,A00 | A01 | D07 | D90,15,
TTG,Đại học Tiền Giang,7510103,Công nghệ kỹ thuật xây dựng (chuyên ngành Xây dựng dân dụng & Công nghiệp),A00 | A01 | D07 | D90,15,
TTG,Đại học Tiền Giang,7420201,Công nghệ sinh học,A00 | A01 | B00 | B08,15,
TTG,Đại học Tiền Giang,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,A00 | A01 | D07 | D90,15,
TTG,Đại học Tiền Giang,7480201,Công nghệ thông tin,A00 | A01 | D07 | D90,15,
TTG,Đại học Tiền Giang,7540101,Công nghệ thực phẩm,A00 | A01 | B00 | B08,15,
TTG,Đại học Tiền Giang,7620301,ĐH Nuôi trồng thủy sản,A00 | A01 | B00 | B08,15,
TTG,Đại học Tiền Giang,7810101,Du lịch,C00 | D01 | D14 | D78,15,
TTG,Đại học Tiền Giang,7340301,Kế toán,A00 | A01 | D01 | D90,16,
TTG,Đại học Tiền Giang,7310101,Kinh tế,A00 | A01 | D01 | D90,15,
TTG,Đại học Tiền Giang,7380101,Ngành Luật,A01 | C00 | D01 | D66,20.5,
TTG,Đại học Tiền Giang,7340101,Quản trị Kinh doanh,A00 | A01 | D01 | D90,16,
TTG,Đại học Tiền Giang,7340201,Tài chính – Ngân hàng,A00 | A01 | D01 | D90,15,
TTG,Đại học Tiền Giang,7229040,Văn hoá học,C00 | D01 | D14 | D78,15,
HTN,Học viện Thanh Thiếu Niên Việt Nam,7760102,Công tác thanh thiếu niên,A09 | C00 | C20 | D01,24.5,
HTN,Học viện Thanh Thiếu Niên Việt Nam,7760101,Công tác xã hội,A09 | C00 | C20 | D01,25.5,
HTN,Học viện Thanh Thiếu Niên Việt Nam,7380101,Ngành Luật,A00 | A09 | C00 | C20,25.5,
HTN,Học viện Thanh Thiếu Niên Việt Nam,7320108,Quan hệ công chúng,C00 | C20 | D01 | D15,27.5,
HTN,Học viện Thanh Thiếu Niên Việt Nam,7310205,Quản lý nhà nước,A09 | C00 | C20 | D01,25.5,
HTN,Học viện Thanh Thiếu Niên Việt Nam,7310401,Tâm lý học,A09 | C00 | C20 | D01,26.5,
HTN,Học viện Thanh Thiếu Niên Việt Nam,7310202,Xây dựng Đảng và Chính quyền nhà nước,A09 | C00 | C20 | D01,24.5,
