Mã trường,Tên trường,Mã ngành,Tên ngành,Tổ hợp môn,Chứng chỉ quốc tế,Điểm học bạ,Điểm thi THPT,Điểm thi riêng,Điểm xét tuyển kết hợp,Điểm xét tốt nghiệp THPT,Điểm ĐGNL HCM,Điểm ĐGNL HN,Điểm ĐGNL ĐH Sư phạm HN,Điểm ĐGNL ĐH Sư phạm TPHCM,Điểm Đánh giá Tư duy,Điểm Đánh giá đầu vào V-SAT,"ƯTXT, XT thẳng",Ghi chú
YHB,Trường Đại Học Y Hà Nội,7310401,Tâm lý học,D01 | B00 | C00,0,0,23.7,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720101YHT,Y khoa Phân hiệu Thanh Hóa,B00,0,0,25.8,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720110,Y học dự phòng,B00,0,0,17,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720115,Y học cổ truyền,B00,0,0,23.5,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720301YHT,Điều dưỡng Phân hiệu Thanh Hóa,A00; B00,0,0,17,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720302,Hộ sinh,A00; B00,0,0,20.35,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720401,Dinh dưỡng,A00; B00,0,0,18.75,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720502,Kỹ thuật phục hình răng,A00; B00,0,0,21.85,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720601,Kỹ thuật xét nghiệm y học,A00; B00,0,0,23.72,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720601YHT,Kỹ thuật xét nghiệm y học Phân hiệu Thanh Hóa,A00; B00,0,0,18.35,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720602,Kỹ thuật hình ảnh y học,A00; B00,0,0,23.57,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720603YHT,Kỹ thuật phục hồi chức năng Phân hiệu Thanh Hóa,A00; B00,0,0,17.3,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720699,Khúc xạ nhãn khoa,A00; B00,0,0,23.23,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720701,Y tế công cộng,D01 | B00; B08,0,0,21.2,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7760101,Công tác xã hội,A00; B00; B08,0,0,17,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720101,Y khoa,B00,0,0,28.13,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720301,Điều dưỡng,A00; B00,0,0,22.25,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720501,Răng - Hàm - Mặt,B00,0,0,27.34,0,0,0,0,0,0,0,0,0,0,
YHB,Trường Đại Học Y Hà Nội,7720603,Kỹ thuật phục hồi chức năng,A00; B00,0,0,22.5,0,0,0,0,0,0,0,0,0,0,
HTC,Học Viện Tài chính,7220201,Tiếng Anh tài chính kế toán,A01; D01; D07,0,0,24.1,0,24.1,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7310101,Kinh tế và quản lý nguồn lực tài chính,A00; A01; D01; D07,0,0,25.43,0,25.43,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7310102,Kinh tế chính trị - tài chính,A00; A01; D01; D07,0,0,24.92,0,24.92,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7310104QT12.01,Kinh tế đầu tư (Theo định hướng ACCA),A01; D01; D07,0,0,22.82,0,22.82,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7310108,Toán tài chính,A00; A01; D01; D07,0,0,24.57,0,24.57,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340101,Quản trị doanh nghiệp; Quản trị kinh doanh du lịch,A00; A01; D01; D07,0,0,24.98,0,24.98,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340115,Marketing,A00; A01; D01; D07,0,0,26.23,0,26.23,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340115QT11.02,Digital Marketing (Theo định hướng ICDL),A01; D01; D07,0,0,23.44,0,23.44,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340116,Thẩm định giá và kinh doanh bất động sản,A00; A01; D01; D07,0,0,21.51,0,21.51,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340120QT15.01,Kinh doanh quốc tế (Theo định hướng ICAEW CFAB),A01; D01; D07,0,0,24.89,0,24.89,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,73402011,Tài chính - Ngân hàng 1 (CN Thuế;  Hải quan và Nghiệp vụ ngoại thương;  Tài chính quốc tế,A00; A01; D01; D07,0,0,25.47,0,25.47,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,73402013,Tài chính - Ngân hàng 3 (CN Ngân hàng;  Đầu tư tài chính),A00; A01; D01; D07,0,0,25.4,0,25.4,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340201QT01.01,Thuế và Quản trị thuế (Theo định hướng ACCA),A01; D01; D07,0,0,21,0,21,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340201QT01.06,Hải quan và Logistics (Theo định hướng FIATA),A01; D01; D07,0,0,21.3,0,21.3,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340201QT01.11,Tài chính doanh nghiệp (Theo định hướng ACCA),A01; D01; D07,0,0,21,0,21,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340201QT01.15,Ngân hàng (Theo định hướng ICAEW CFAB),A01; D01; D07,0,0,21,0,21,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340201QT01.19,Đầu tư tài chính (Theo định hướng ICAEW CFAB),A01; D01; D07,0,0,21,0,21,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340301,Kế toán doanh nghiệp; Kế toán công,A00; A01; D01; D07,0,0,25.01,0,25.01,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340301QT02.01,Kế toán doanh nghiệp (Theo định hướng ACCA),A01; D01; D07,0,0,21.5,0,21.5,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340301QT02.02,Kế toán quản trị và Kiểm soát quản lý (Theo định hướng CMA),A01; D01; D07,0,0,21,0,21,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340302,Kiểm toán,A00; A01; D01; D07,0,0,26.6,0,26.6,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340302QT10.01,Kiểm toán (Theo định hướng ICAEW CFAB),A01; D01; D07,0,0,21.5,0,21.5,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340403,Quản lý tài chính công,A00; A01; D01; D07,0,0,22.55,0,22.55,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7380101,Luật kinh doanh,A00; A01; D01; D07,0,0,25.12,0,25.12,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7460108,Khoa học dữ liệu trong tài chính,A00; A01; D01; D07,0,0,25.52,0,25.52,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7480201,Trí tuệ nhân tạo trong tài chính kế toán,A00; A01; D01; D07,0,0,24.97,0,24.97,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340101QT03.01,Quản trị doanh nghiệp (Theo định hướng ICAEW CFAB),A01; D01; D07,0,0,22.58,0,22.58,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340116QT09.01,Thẩm định giá và kinh doanh bất động sản (Theo định hướng ACCA),A01; D01; D07,0,0,21,0,21,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,73402012,Tài chính - Ngân hàng 2 (CN Tài chính doanh nghiệp; Phân tích tài chính),A00; A01; D01; D07,0,0,26.31,0,26.31,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340201QT01.09,Phân tích tài chính (Theo định hướng ICAEW CFAB),A01; D01; D07,0,0,21,0,21,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340204,Tài chính bảo hiểm,A00; A01; D01; D07,0,0,22.56,0,22.56,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340301QT02.03,Kế toán công (Theo định hướng ACCA),A01; D01; D07,0,0,21.5,0,21.5,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7340405,Tin học tài chính kế toán,A00; A01; D01; D07,0,0,25.07,0,25.07,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
HTC,Học Viện Tài chính,7310104,Kinh tế đầu tư,A00; A01; D01; D07,0,0,25.56,0,25.56,0,0,0,0,0,0,0,0,Điểm đã được quy đổi
SPH,Trường Đại Học Sư Phạm Hà Nội,7140201,Giáo dục Mầm non,"Toán, Ngữ văn, Lịch sử | M00",0,0,22.13,0,0,0,0,0,0,0,0,0,22.13,
SPH,Trường Đại Học Sư Phạm Hà Nội,7140201K,Giáo dục Mầm non - Sư phạm Tiếng Anh,"Toán, Ngữ văn, Tiếng Anh | M01;  M02",0,0,21.5,0,0,0,0,0,0,0,0,0,21.5,
SPH,Trường Đại Học Sư Phạm Hà Nội,7140202,Giáo dục Tiểu học,"D01 | Toán, Ngữ văn, Tiếng Anh",0,0,25.1,0,0,0,0,0,25.1,0,0,0,25.1,
SPH,Trường Đại Học Sư Phạm Hà Nội,7140203,Giáo dục đặc biệt,"Toán, Ngữ văn, Ngoại ngữ; Tất cả các đội tuyển | D01;  C00 | C00;  D01",0,0,27.55,0,0,0,0,0,27.55,0,0,0,27.55,
SPH,Trường Đại Học Sư Phạm Hà Nội,7140204,Giáo dục công dân,D14; C00 | GDKTPL; Ngữ văn; ngoại ngữ;Tất cả các đội tuyển | X70; X74; X78,0,0,27.67,0,0,0,0,0,27.67,0,0,0,27.67,
SPH,Trường Đại Học Sư Phạm Hà Nội,7140205,Giáo dục chính trị,D14; C00 | GDKTPL; Ngữ văn; ngoại ngữ;Tất cả các đội tuyển | X70; X74; X78,0,0,28.22,0,0,0,0,0,28.22,0,0,0,28.22,
SPH,Trường Đại Học Sư Phạm Hà Nội,7140208,Giáo dục Quốc phòng và An ninh,"D01; C00 | C00; D01 | Toán, Ngữ văn, Ngoại ngữ;Tất cả các đội tuyển",0,0,27.27,0,0,0,0,0,27.27,0,0,0,27.27,
