ma_to_hop,ten_to_hop,mon_1,mon_2,mon_3
A00,Khối A,Toán,Vật lí,Hóa học
A01,Khối A1,Toán,Vật lí,Tiếng Anh
A02,Khối A2,Toán,Vật lí,Sinh học
A03,Khối A3,Toán,Vật lí,Lịch sử
A04,Khối A4,Toán,Vật lí,Địa lí
A05,Khối A5,Toán,Hóa học,Lịch sử
A06,Khối A6,Toán,Hóa học,Địa lí
A07,Khối A7,Toán,Lịch sử,Địa lí
A08,Khối A8,Toán,Lịch sử,GDKTPL
A09,Khối A9,Toán,Địa lí,GDKTPL
A0C,Khối A0C,Toán,Vật lí,Công nghệ
A0T,Khối A0T,Toán,Vật lí,Tin học
A10,Khối A10,Toán,Vật lí,GDKTPL
A11,Khối A11,Toán,Hóa học,GDKTPL
A12,Khối A12,Toán,KHTN,Lịch sử
A13,Khối A13,Toán,KHTN,Địa lí
A14,Khối A14,Toán,KHTN,GDCD
A15,Khối A15,Toán,KHTN,GDKTPL
A16,Khối A16,Toán,KHTN,Ngữ văn
A17,Khối A17,Toán,KHXH,Vật lí
A18,Khối A18,Toán,KHXH,Hóa học
A19,Khối A19,Toán,KHXH,Sinh học
AH1,Khối AH1,Toán,Địa lí,Tiếng Hàn
AH2,Khối AH2,Toán,Hóa học,Tiếng Hàn
AH3,Khối AH3,Toán,Vật lí,Tiếng Hàn
AH4,Khối AH4,Toán,Sinh học,Tiếng Hàn
AH5,Khối AH5,0,0,0
AH6,Khối AH6,0,0,0
AH7,Khối AH7,0,0,0
AH8,Khối AH8,0,0,0
ALL,Khối ALL,0,0,0
AU,Khối AU,0,0,0
B00,Khối B,Toán,Hóa học,Sinh học
B01,Khối B1,Toán,Lịch sử,Sinh học
B02,Khối B2,Toán,Sinh học,Địa lí
B03,Khối B3,Toán,Sinh học,Ngữ văn
B04,Khối B4,Toán,Sinh học,GDKTPL
B05,Khối B5,Toán,Sinh học,KHXH
B08,Khối B8,Toán,Sinh học,Tiếng Anh
BO0,Khối BO0,0,0,0
BO3,Khối BO3,0,0,0
C00,Khối C,Ngữ văn,Lịch sử,Địa lí
C01,Khối C1,Ngữ văn,Toán,Vật lí
C02,Khối C2,Ngữ văn,Toán,Hóa học
C03,Khối C3,Ngữ văn,Toán,Lịch sử
C04,Khối C4,Ngữ văn,Toán,Địa lí
C05,Khối C5,Ngữ văn,Vật lí,Hóa học
C06,Khối C6,Ngữ văn,Vật lí,Sinh học
C07,Khối C7,Ngữ văn,Lịch sử,Vật lí
C08,Khối C8,Ngữ văn,Hóa học,Sinh học
C09,Khối C9,Ngữ văn,Địa lí,Vật lí
C0G,Khối C0G,Ngữ văn,Địa lí,Kinh tế & PL
C10,Khối C10,Ngữ văn,Lịch sử,Hóa học
C11,Khối C11,Ngữ văn,Địa lí,Hóa học
C12,Khối C12,Ngữ văn,Lịch sử,Sinh học
C13,Khối C13,Ngữ văn,Sinh học,Địa lí
C14,Khối C14,Ngữ văn,Toán,GDKTPL
C15,Khối C15,Ngữ văn,Toán,KHXH
C16,Khối C16,Ngữ văn,Vật lí,GDKTPL
C17,Khối C17,Ngữ văn,Hóa học,GDKTPL
C18,Khối C18,Ngữ văn,Lịch sử,GDCD
C19,Khối C19,Ngữ văn,Lịch sử,GDKTPL
C20,Khối C20,Ngữ văn,Địa lí,GDKTPL
C21,Khối C21,Ngữ văn,Địa lí,GDCD
C22,Khối C22,Ngữ văn,Toán,GDCD
C23,Khối C23,Ngữ văn,Toán,Địa lí
C24,Khối C24,Ngữ văn,Toán,Lịch sử
C25,Khối C25,Ngữ văn,Toán,KHTN
C26,Khối C26,Ngữ văn,Toán,KHXH
COI,Khối COI,0,0,0
D00,Khối D,Toán,Ngữ văn,Tiếng Anh
D01,Khối D1,Ngữ văn,Toán,Tiếng Anh
D02,Khối D2,Ngữ văn,Toán,Tiếng Nga
D03,Khối D3,Ngữ văn,Toán,Tiếng Pháp
D04,Khối D4,Ngữ văn,Toán,Tiếng Trung
D05,Khối D5,Ngữ văn,Toán,Tiếng Đức
D06,Khối D6,Ngữ văn,Toán,Tiếng Nhật
D07,Khối D7,Toán,Hóa học,Tiếng Anh
D08,Khối D8,Toán,Sinh học,Tiếng Anh
D09,Khối D9,Toán,Lịch sử,Tiếng Anh
D10,Khối D10,Toán,Địa lí,Tiếng Anh
D11,Khối D11,Ngữ văn,Vật lí,Tiếng Anh
D12,Khối D12,Ngữ văn,Hóa học,Tiếng Anh
D13,Khối D13,Ngữ văn,Sinh học,Tiếng Anh
D14,Khối D14,Ngữ văn,Lịch sử,Tiếng Anh
D145,Khối D145,Ngữ văn,KHXH,Tiếng Anh
D147,Khối D147,Toán,KHXH,Tiếng Anh
D15,Khối D15,Ngữ văn,Địa lí,Tiếng Anh
D17,Khối D17,Toán,Ngữ văn,Địa lí
D18,Khối D18,Toán,Ngữ văn,GDCD
D19,Khối D19,Toán,Ngữ văn,Lịch sử
D20,Khối D20,Toán,Địa lí,Tiếng Trung
D21,Khối D21,Toán,Hóa học,Tiếng Đức
D22,Khối D22,Toán,Hóa học,Tiếng Nga
D23,Khối D23,Toán,Hóa học,Tiếng Nhật
D24,Khối D24,Toán,Hóa học,Tiếng Pháp
D25,Khối D25,Toán,Hóa học,Tiếng Trung
D26,Khối D26,Toán,Vật lí,Tiếng Đức
D27,Khối D27,Toán,Vật lí,Tiếng Nga
D28,Khối D28,Toán,Vật lí,Tiếng Nhật
D29,Khối D29,Toán,Vật lí,Tiếng Pháp
D30,Khối D30,Toán,Vật lí,Tiếng Trung
D31,Khối D31,Toán,Sinh học,Tiếng Đức
D32,Khối D32,Toán,Sinh học,Tiếng Nga
D33,Khối D33,Toán,Sinh học,Tiếng Nhật
D34,Khối D34,Toán,Sinh học,Tiếng Pháp
D35,Khối D35,Toán,Sinh học,Tiếng Trung
D36,Khối D36,Toán,Lịch sử,Tiếng Đức
D37,Khối D37,Toán,Lịch sử,Tiếng Nga
D38,Khối D38,Toán,Lịch sử,Tiếng Nhật
D39,Khối D39,Ngữ văn,Địa lí,Tiếng Đức
D40,Khối D40,Toán,Lịch sử,Tiếng Trung
D41,Khối D41,Ngữ văn,Địa lí,Tiếng Anh
D42,Khối D42,Ngữ văn,Địa lí,Tiếng Nga
D43,Khối D43,Ngữ văn,Địa lí,Tiếng Nhật
D44,Khối D44,Ngữ văn,Địa lí,Tiếng Pháp
D45,Khối D45,Ngữ văn,Địa lí,Tiếng Trung
D48,Khối D48,Toán,Ngữ văn,Tiếng Nhật
D50,Khối D50,Toán,Ngữ văn,Tiếng Trung
D53,Khối D53,Toán,Ngữ văn,Tiếng Hàn
D54,Khối D54,Toán,Ngữ văn,Tiếng Pháp
D55,Khối D55,Ngữ văn,Vật lí,Tiếng Trung
D58,Khối D58,Toán,Ngữ văn,Tiếng Nga
D60,Khối D60,Toán,Ngữ văn,Tiếng Đức
D61,Khối D61,Ngữ văn,Lịch sử,Tiếng Đức
D62,Khối D62,Ngữ văn,Lịch sử,Tiếng Nga
D63,Khối D63,Ngữ văn,Lịch sử,Tiếng Nhật
D64,Khối D64,Ngữ văn,Lịch sử,Tiếng Pháp
D65,Khối D65,Ngữ văn,Lịch sử,Tiếng Trung
D66,Khối D66,Ngữ văn,GDKTPL,Tiếng Anh
D67,Khối D67,Ngữ văn,GDKTPL,Tiếng Đức
D68,Khối D68,Ngữ văn,GDKTPL,Tiếng Nga
D69,Khối D69,Văn,GDKTPL,Tiếng Nhật
D70,Khối D70,Ngữ văn,GDKTPL,Tiếng Pháp
D71,Khối D71,Ngữ văn,GDKTPL,Tiếng Trung
D72,Khối D72,Ngữ văn,KHTN,Tiếng Anh
D75,Khối D75,Ngữ văn,KHXH,Tiếng Anh
D77,Khối D77,Ngữ văn,KHXH,Tiếng Trung
D78,Khối D78,Ngữ văn,KHXH,Tiếng Nhật
D81,Khối D81,Ngữ văn,KHXH,Tiếng Anh
D83,Khối D83,Ngữ văn,KHXH,Tiếng Pháp
D84,Khối D84,Toán,Tiếng Anh,GDKTPL
D86,Khối D86,Toán,GDKTPL,Tiếng Nga
D87,Khối D87,Toán,GDKTPL,Tiếng Pháp
D88,Khối D88,Toán,GDKTPL,Tiếng Nhật
D89,Khối D89,Toán,Ngữ văn,Tiếng Nhật
D90,Khối D90,Toán,KHTN,Tiếng Anh
D91,Khối D91,Toán,KHXH,Tiếng Anh
D96,Khối D96,Toán,KHXH,Tiếng Trung
D97,Khối D97,Toán,KHXH,Tiếng Pháp
D98,Khối D98,Toán,KHXH,Tiếng Nga
DD2,Khối DD2,Ngữ văn,Toán,Tiếng Hàn
DH1,Khối DH1,Ngữ văn,Địa lí,Tiếng Hàn
